,ci_test_results,z_test_results,z_test_p_values,mean_diff
0,True,False,0.1794,-3.5
1,False,True,0.0001,-6.5
2,True,False,0.7046,0.8
3,False,True,0.0158,-3.3
4,True,False,0.0918,2.7
5,True,False,0.6305,-1.1
6,True,False,0.0509,-3.4
7,True,False,0.3847,-1.3
8,True,False,0.834,0.2
9,False,True,0.0,-8.7
10,True,False,0.9422,-0.1
11,True,False,0.6597,1.0
12,True,False,0.4054,-0.7
13,False,True,0.0,-3.7
14,True,False,0.222,-30.5
15,True,False,0.8695,0.2
16,True,False,0.1425,1.1
17,True,False,0.2105,-2.4
18,True,True,0.0361,2.9
19,False,True,0.0,-24.7
20,True,False,0.4867,1.6
21,True,True,0.0499,3.6
22,True,False,0.0684,-11.1
23,True,False,0.7808,-0.7
24,True,False,0.1222,-1.4
25,True,False,0.2792,-6.5
26,True,False,0.2284,0.9
27,True,False,0.5896,2.7
28,True,False,0.5744,-0.6
29,True,False,0.7549,-0.1
30,True,False,0.2318,1.7
31,True,False,0.681,0.6
32,True,False,0.2677,-1.4
33,False,True,0.0,-301.0
34,True,False,0.0609,3.0
35,True,False,0.4753,-1.3
36,True,True,0.0443,19.1
37,False,True,0.0,-52.3
38,True,False,0.2415,-3.8
39,True,False,0.1642,-1.1
40,True,False,0.878,-0.2
41,True,False,0.5826,0.6
42,True,False,0.193,1.9
43,True,False,0.9115,-0.3
44,True,True,0.0353,-4.6
45,True,False,0.9518,-0.1
46,True,False,0.3728,-1.2
47,True,False,0.076,-1.7
48,True,True,0.0248,-3.9
49,True,False,0.7561,-0.1
50,True,False,0.1364,2.0
51,False,True,0.0,-98.4
52,True,False,0.8882,0.3
53,True,False,0.0743,-1.7
54,False,True,0.0014,9.5
55,True,False,0.6436,0.3
56,True,False,0.998,-0.0
57,True,False,0.1015,-14.6
58,True,False,0.158,-19.4
59,True,False,0.2981,0.7
60,True,False,0.0624,3.0
61,True,False,0.6754,0.9
62,True,False,0.5892,-0.3
63,True,False,0.2536,0.9
64,True,False,0.1415,-2.1
65,True,True,0.0456,-2.4
66,False,True,0.0,-8.8
67,False,True,0.0014,-1.9
68,False,True,0.0,132.2
69,False,True,0.0002,-6.2
70,True,False,0.93,-0.1
71,True,False,0.6649,0.6
